義項id,詞目漢字,解說,對應詞目id,對應詞目漢字
,序細,晚輩、後輩。,,頂沿
,沙屑,形容人囉嗦，不乾脆。,,脆氣
,私下,暗地裡、不公開地、不欲人知地。,,公開
,私利,個人自身的利益。,,公益
,走袂離,脫逃不了或閃躲不及。,,走過手
,享受,享有受用。,,受難
,事後,事務已成定局之後，或事情發生之後。,,事前
,事後,事務已成定局之後，或事情發生之後。,,事先
,佮意,中意。喜歡、滿意。,,相棄嫌
,受害,遭到損害、侵害或殺害。,,得利
,初級,最低的層次。,,懸階
,卸貨,將貨物拆卸下來。,,裝貨
,具體,實在。實體存在，不抽象。,,抽象
,彼擺,那次。,,這擺
,抱的,養子女。抱養的子女，不是親生的子女。,,親生的
,拋近路,抄近路。由最捷近的路線行進。,,踅遠路
,拘留,拘禁扣留或是專指法律上因為觸法而被暫時性的拘押。,,放人
,拘留,拘禁扣留或是專指法律上因為觸法而被暫時性的拘押。,,釋放
,拘留,拘禁扣留或是專指法律上因為觸法而被暫時性的拘押。,,交保
,放債,遺留債務。,,還債
,拗彎,把東西從直的折成彎的。,,拗直
,東,方位名，與「西」相對。,,西
,枉死,受冤屈而死。,,善終
,昏迷,思緒昏亂迷惘，分不清事理。,,清醒
,昏迷,大腦因為受傷而失去知覺、意識，無法行動。,,清醒
,沿海,靠近海邊的地區。,,內陸
,武藝,武功技藝。,,文才
,注意,小心、留意。,,生猴
,直,不彎曲的。,,曲
,直,不彎曲的。,,彎
,直接,沒有轉折，不必透過人或事物的傳達。,,間接
,空腹,空著肚子，沒有進食。,,飯後
,知輕重,知道事情的輕重緩急。,,毋知輕重
,肥,多脂肪的。,,精
,近,指時間、地點、血統、關係等方面距離不遠的。,,遠
,表面,東西或事務的外在層面。,,實質
,長途,遙遠的路程。,,短途
,長輩,輩分高、年紀長的人。,,晚輩
,便藥仔,成藥。藥料加工調製完成的藥物。明示劑量、效能、用法，經藥劑師建議後，即可供治療疾病用。,,生藥
,前日,前幾天。,,後日仔
,南爿,南邊。南方。,,北方
,前世,上輩子。,,後世
,厚,指數量多的。,,少
,厚薰,味道較重的香菸。,,薄薰
,契母,義母、乾媽。經由拜認而非親生的母親。,,親生母
,契母,義母、乾媽。經由拜認而非親生的母親。,,親娘
,契囝,義子、乾兒子。經由拜認而非親生的兒子。,,親生囝
,客,來賓，相對於「主」來說。,,主
,帝,指君權時代的國家領導者。,,后
,帝,指某一行業之男性翹楚。,,后
,客戶,指商業行為上的消費者或買方。,,賣方
,後,指時間次序上比較晚的。,,先
,後,指時間次序上比較晚的。,,前
,後,在背面的。,,前
,後代,後世，未來的世代。,,祖先
,怨妒,嫉妒。對才能或境遇比自己好的人心懷不平和怨恨。,,欣慕
,後尾門,後門。,,前門
,後尾門,後門。,,頭前門
,後面,人體或物體背面、靠後的部分。,,前面
,後個月,下個月。,,頂個月
,查某人,太太、妻子。,,先生
,查埔囝,男子漢。有大丈夫氣概的人。,,穿裙的
,洘,指退潮。,,水滇
,洘,指退潮。,,翻流
,洘流,退潮。,,水滇
,洘流,退潮。,,翻流
,活,靈活的、不死板。,,柴
,看人無,瞧不起人。,,看上目
,看袂起,瞧不起。,,看上目
,看輕,輕視。,,看上目
,苦,五味之一。,,甘
,降,由高而低，由上而下。,,升
,降落,由高而低的落下、下墜。,,升起
,風尾,風所吹向的那一方，風力所能達到的最後階段。,,風頭
,面頂,上面。,,下面
,面頭前,眼前、面前。,,後面
,食臊,茹葷。進食肉類和蔥、蒜、韭等具有辛辣氣味的蔬菜食物。,,食素
,食虧,吃虧。遭受損失或委屈。,,賺著
,倒,左邊。,,正
,凊,冷的、涼掉的、冷漠的。,,燒
,冤仇人,仇人、冤家。,,恩人
,兼任,兼職。在本職以外同時擔任別的職務。,,專任
,原告,向法院提出訴訟的人或法人。,,被告
,害,故意使別人遭受不幸。,,救
,崁跤,懸崖下。,,崁仔頂
,柴,形容人的肢體動作呆滯、不靈活。口語運用大多以重疊的形式出現。,,活
,柴頭,呆板。形容一個人木訥、不解風情。,,活跳
,海味,海產、海鮮。海洋中可以食用的動植物。,,山珍
,烏枋,黑板。用來教學的用具。用木頭製成，再漆上黑色或深綠色的不反光漆。可以用粉筆在上面書寫、繪畫，大多是教師教學時使用。,,白枋
,消極,逃避現實，意志消沉。,,積極
,粉肝,肉質細嫩的豬肝。,,柴肝
,素食,素餐。指不含葷腥食物的餐點。,,肉食
,臭人,品德惡劣，令人討厭的人。,,好人
,起鼓,開鑼、上戲、揭開序幕，傳統戲劇要上演時會先由樂師打鼓準備上戲。,,散戲
,退學,學生因為嚴重違反校規或是不及格的科目達到一定比例，而被學校當局勒令不得繼續在校就讀。,,上學
,退學,學生因為嚴重違反校規或是不及格的科目達到一定比例，而被學校當局勒令不得繼續在校就讀。,,就學
,高級,較高尚、尊貴，層次等級較高的。,,下等
,偏心,偏袒。袒護一方，對某一方存私心。,,公正
,偏名,綽號、小名。非正式的名字。,,正名
,動,改變原狀，靜的相反。,,靜
,國內,本國。國家領土以內的範圍。,,國外
,堆肥,含有肥力的動、植物、礦物質與化學肥料等混合堆積，經過腐化而成的肥料。,,化學肥
,密,事物內部空隙小、不稀疏。,,櫳
,強壯,健壯有力。,,衰弱
,得勢,得到權位、獲得有利的形勢。,,失勢
,得意,稱心如意或引以自豪。,,失意
,淺色,顏色較淺。在色彩的彩度較低，明度較高的顏色。,,深色
,淺眠,入睡不深，容易醒來。,,深眠
,淫亂,違背禮法的男女關係。,,貞節
,淫亂,違背禮法的男女關係。,,貞潔
,淺想,未經過深思熟慮的猜測。,,深想
,牽手,太太、老婆。,,先生
,窒倒街,到處都有、充斥四處。貨物多到把整條街塞得滿滿的，用來比喻東西非常多。,,攏無
,粒,煮飯時水份不夠，飯的口感較硬。,,𩚨
,粗,不精緻的。,,幼
,粗,不平滑的。,,幼
,粗,粗魯、不文雅。,,文雅
,細,小。,,大
,統一,使零散、分離的事務統合為一體。,,分離
,粗俗貨,便宜貨。品質不高、不精細，價值又不貴的貨品。,,貴重物
,細膩,做事小心謹慎。,,生猴
,粗糠,稻穀脫下來的外殼，可用來當燃料或覆蓋農作物。,,幼糠
,軟弱,個性柔弱畏怯。,,堅強
,這點仔,這麼點兒、這麼少。表示體積很小或數量很少。,,誠濟
,部份,全體中的局部；整體裡的一些個體。,,全部
,部份,全體中的局部；整體裡的一些個體。,,全體
,頂勻,上輩。上一輩、上一代。,,下沿
,頂月,上個月。,,下個月
,頂月日,上個月。,,下個月
,頂世人,前世、上輩子。,,後世
,頂面,上面。,,下面
,頂港,北部。用來稱呼臺灣的北部地區。,,中南部
,頂港,北部。用來稱呼臺灣的北部地區。,,南部
,陰間,民間傳說人死後靈魂所去的地方。,,陽間
,頂過,上次。,,後改
,頂層,上一層、上層。,,下層
,頂頭,上面、上頭。,,下頭
,頂頭,上面、上頭。,,下面
,頂幫,上次，前一次。,,後改
,頂擺,上次、前回。,,後改
,喜劇,有圓滿結局的戲劇或是用誇張手法引人發笑的戲劇。,,哭齣
,喪事,人死後的殮葬、哀祭等事宜。,,喜事
,報答,酬謝恩惠。,,報冤仇
,富戶,有錢人家。,,貧家
,寒衫,冬衣、冬裝。冬天所穿的厚重衣服。,,熱天衫
,寒衫,冬衣、冬裝。冬天所穿的厚重衣服。,,熱衫
,尊重,敬重。,,侮辱
,尊敬,敬重、尊崇。,,看無目地
,悲哀,悲傷，哀痛。,,歡喜
,悲哀,悲傷，哀痛。,,快樂
,悲傷,悲哀、傷痛。,,歡喜
,悲傷,悲哀、傷痛。,,快樂
,惡人,壞人、兇悍者。行為惡劣或心地、品行壞的人。,,善人
,惡人,壞人、兇悍者。行為惡劣或心地、品行壞的人。,,好人
,惡報,不好的報應，因為過去的惡業而導致苦果。,,好報
,惡報,不好的報應，因為過去的惡業而導致苦果。,,好報應
,惡報,不好的報應，因為過去的惡業而導致苦果。,,善報
,惡霸,惡棍、地痞。獨霸一方的壞人。在地方上為非做歹，欺壓民眾的人。,,好人
,散票,零鈔、小鈔。小額的紙幣，不包含硬幣。,,大百的
,最後,時間或次序上居於最末的位置。,,事先
,暑假,各級學校因為夏天暑熱而放假，時間通常是在七月、八月。,,寒假
,減法,一種數學的運算方法。從某數減去他數，為計算兩數之差的方法。,,加法
,欺負,欺悔、欺凌。,,愛護
,無大無細,沒大沒小、沒禮貌。,,有禮貌
,無大無細,沒大沒小、沒禮貌。,,有禮數
,無毋著,沒錯。,,有毋著
,無半步,一無是處、一無所知、一竅不通。,,全步數
,無半絲,全無。一點兒也沒有，是加重語氣的用法。,,規大堆
,無半項,一樣東西都沒有。引申指人一無所知、一無是處、無能的樣子。,,規大堆
,無打緊,不要緊、沒關係。通常用於表示還有更糟的事情。,,有打緊
,無所謂,不要緊、沒關係。,,有所謂
,無夠月,早產。胎兒在子宮內發育月數不足，便因故出生。,,足月
,無夠重,不夠重、重量不足，也引申為看不起人。,,有夠重
,無較縒,沒有用。,,有較縒
,短期,短暫的時間。,,長期
,短褲,長度不超過膝蓋的褲子。,,長褲
,結果,事物的最後結局或歸宿。,,起因
,答案,問題的解答。,,問題
,菜鳥仔,新手、菜鳥。戲稱團體中的新進人員，或一項行業的新手。,,老鳥
,鈍,笨拙緩慢。,,扭掠
,鈍,笨拙緩慢。,,猛
,雄,陽性的性別。,,雌
,傷心,心中悲痛。,,歡喜
,傷心,心中悲痛。,,快樂
,圓圓,圓圓的。,,扁扁
,新曆,本國採用之世界通行新曆法，屬「陽曆」的一種，以別於漢族傳統通行的「舊曆」。,,農曆
,搦權,掌權。,,失勢
,暗,黑暗。,,光
,暗,夜深。,,早
,歁歁,呆呆笨笨的。,,巧骨
,落水,貨物堆積上船。,,起水
,落尾,後來、最後。,,代先
,落尾,後來、最後。,,事先
,落尾手,後來、最後。,,進前
,落尾手,後來、最後。,,事先
,落衰,走背運、走霉運。,,好字運
,落價,降價、減價。,,漲價
,跤尖手幼,細皮嫩肉、玉手纖纖。,,粗跤粗手
,誠實,真實的、真的。,,假的
,過意,安心。,,未過心
,過意,安心。,,過袂得去
,隔轉工,翌日、隔天。,,前一工
,隔轉工,翌日、隔天。,,前一日
,嘐潲話,吹牛、虛妄的大話。,,老實話
,嘐潲話,吹牛、虛妄的大話。,,實在話
,慢性,性情不急躁。,,急性
,精,肉的脂肪少。,,肥
,算袂和,划不來。不合算、不值得。,,會和盤
,誤解,誤會。判斷錯誤。,,了解
,趕緊,加快動作的速度。,,勻聊仔
,增加,增添、加多。,,減少
,熟手,對於某種事物專精熟練的人。,,菜鳥
,請假,因病或事情而請求准許休假。,,銷假
,養的,對養父母的泛稱。,,親生的
,養的,對養子女的泛稱。,,親生的
,懊嘟嘟,氣嘟嘟、擺臭臉。臉臭臭的，懊惱的樣子。,,笑咪咪
,燒,溫暖。,,冷
,燒,溫暖。,,涼
,燒,溫度高。,,冰
,燒,溫度高。,,冷
,燒水,熱水。溫度高的水。,,冷水
,親切,和善懇切。,,冷淡
,頭前,前面、前方。指空間、次序上比較先的。,,後尾
,頭前,前面、前方。指空間、次序上比較先的。,,後面
,優點,好處、長處。,,欠點
,濟濟,很多、數量眾多。,,少少
,臊,葷食。,,素
,臊,葷食。,,菜
,闊莽莽,形容非常遼闊，一望無垠。,,狹櫼櫼
,闊閬閬,非常寬闊。,,狹櫼櫼
,舊式,舊有的形式或樣式。,,新式
,舊曆,農曆。漢族傳統通行的曆法，屬「陰陽合曆」的一種。大月三十天，小月二十九天；平年一年十二個月，閏年十三個月。,,國曆
,謹慎,對自己的言行或外界事務格外小心仔細，以避免有不利或不幸的事情發生。,,生猴
,雞屎運,嘲諷或自嘲意外得到的好處。,,衰潲運
,離緣,離婚。夫婦依照法定手續解除婚姻關係。,,結婚
,譀話,空話。不切實際的話。,,實在話
,懸,高、高聳、高挺。,,低
,贏面,上風、勝算、優勢。指處於有利的形勢或環境。,,無面
,鹹,含鹽分或鹽味的。,,汫
,彎,不直的、彎曲的。,,直
,𤲍,擁擠。,,冗
,大伯仔,丈夫的大哥。,,小叔仔
,小食,食量小的。,,大食
,定親,訂婚、文定。男女雙方在結婚前締定婚約的儀式。,,退親
,前世人,前世、上輩子。,,後世
,後過,下次。將來。,,頂回
,袂赴市,時間短暫，無法趕上或顧及。,,會赴
,袂赴市,時間短暫，無法趕上或顧及。,,會赴市
,起帆,揚帆。撐起船帆，常指準備出航。,,落帆
,接神,迎接神佛。,,送尪
,晚冬,二期稻作。,,頂冬
,涼的,冷飲或冰品的總稱。,,燒的
,深山林內,深山窮谷、窮山僻壤。人跡罕至的偏遠山區。,,繁華都市
,無盤,不划算。,,會和盤
,無盤,不划算。,,會和
,新正年頭,農曆春節期間。,,年尾兜
,新正年頭,農曆春節期間。,,舊年尾
,落台,下臺。走下舞臺、講臺等。,,上台
,落台,下臺。比喻離開或被解除高階職務。,,上任
,路尾,路的盡頭。,,路頭
,實䈄,竹子或甘蔗的節與節之間的距離較短。,,落目
,滾耍笑,開玩笑。,,做正經
,一疕仔,一小片、一點點。形容微不足道，帶有貶義。,,一大片
,入心,形容接受進去，常做補語。,,馬耳東風
,上尾,最後。,,上頭
,反種,生物由原種變生的新種。,,正種
,反種,混種的。,,正種
,少歲,年輕。,,濟歲
,歹吉兆,凶兆。壞的預兆。,,好吉兆
,歹吉兆,凶兆。壞的預兆。,,好頭彩
,歹吉兆,不吉利。,,好吉兆
,仝沿,同輩、同儕、平輩。可指同年齡層或同輩份。,,頂下沿
,外埠頭,外地、外鄉鎮。,,本埠
,平洋,平原、平地。平坦廣闊的原野。,,山地
,正範,真品、真貨。也指正牌，正規，名副其實的身份。,,假範
,在欉的,指水果剛從樹上摘下來。,,隱的
,好代,好事、善行事。,,歹事
,好代,好消息。,,歹事
,好份,好份。好的部份。,,歹份
,好看頭,指模樣好，有看頭。,,歹看相
,好看頭,指模樣好，有看頭。,,歹看頭
,自家用的,指自家轎車；私人使用的。,,計程仔
,自家用的,指自家轎車；私人使用的。,,叫客的
,自家用的,指自家轎車；私人使用的。,,營業車
,門口埕,前庭、前院。,,後埕
,門口埕,前庭、前院。,,後壁埕
,門口埕,前庭、前院。,,後尾埕
,文光尺,小木匠師所用的尺，長度為一尺四寸四，其上刻有「財病離義官劫害本」八格的吉凶尺寸，多用於丈量門窗，一般的師傅常將「文光尺」和「魯班尺(魯班公尺)」視作相同的尺，但也有不同地方的師傅認定兩者是不同的尺。門光尺為陽宅所用，陰宅則用丁蘭尺。民間一般寫作「文公尺」，建築勘輿學者則認為與「門光星」有關聯，因此也寫做「門光尺」。,,丁蘭尺
,咱人,指農曆。可以說是「咱人的曆日」(lán-lâng ê la̍h-ji̍t)的簡略說法，是臺灣人原本使用的傳統曆法，相對於日治時代日本人引進的新式曆法。,,國曆
,巷仔內的,行家、內行人。「巷仔內」本指巷子裡，和「行仔內」(hâng-á-lāi)諧音相關，用於指某行業、領域內的行家、專家。,,外行的
,巷仔內的,行家、內行人。「巷仔內」本指巷子裡，和「行仔內」(hâng-á-lāi)諧音相關，用於指某行業、領域內的行家、專家。,,外行人
,限時批,限時信。郵政用語，寄送時間較平信為短的信件。,,普通批
,限時批,限時信。郵政用語，寄送時間較平信為短的信件。,,平信
,倒拗,反折。,,正拗
,倒轉去,回去、返家。,,出去
,師仔工,指學徒等級的工錢或技術。,,師傅工
,草地倯,土包子、鄉巴佬。戲稱沒見過世面、不懂規矩的鄉下人。,,臺北倯
,草地倯,土包子、鄉巴佬。戲稱沒見過世面、不懂規矩的鄉下人。,,市內倯
,荏身命,天生體質虛弱，容易生病。,,勇身命
,退流,退潮。,,水滇
,退流,退潮。,,翻流
,退流,退潮。,,飽流
,做水,淹水、鬧水災。,,做旱
,徙岫,動物遷徙窩巢。也用來戲稱人搬家、挪動桌位等。,,定居
,規家伙仔,全家人。,,一箍人
,軟市,市場交易不熱絡。,,利市
,買手,買主。,,賣主
,韌命,有韌性、生命力強，經得起磨難。,,脆命
,極加,最多、頂多。用來說明數量上、程度上等頂多如何。,,上起碼
,歇睏日,假日。,,上班日
,歇睏時仔,休息時間。,,上班時間
,歇睏時仔,假日。,,上班日
,矮仔冬瓜,矮冬瓜。對矮小的人的謔稱。,,躼跤的
,矮鼓,指身材矮小的意思。,,懸大
,落山,下山。,,上山
,落貨,卸貨。搬下所載的貨物。,,裝貨
,落貨,卸貨。搬下所載的貨物。,,疊貨
,漚步,賤招、卑劣的伎倆、手段。,,君子步
,漚屎步,惡劣手段。惡劣的方法或計謀。,,君子步
,緊氣,迅速、速度快。「氣(khuì)」是形容詞後綴。,,慢氣
,趖跤趖手,形容動作慢吞吞，拖拖拉拉，反應遲鈍。,,緊跤緊手
,褪毛,褪換新的羽毛。,,發毛
,頭兄,首腦人物。,,細漢的
,頭兄,首腦人物。,,下跤手
,懸頂,上面、上頭。,,下面
,儼硬,堅強。,,軟汫
,儼硬,堅強。,,軟弱
,變無魍,搞不出花樣。,,變魍
,鷹仔目,鷹眼、銳利的眼神。比喻眼神像老鷹的一樣銳利。,,菜鴿目
,入來,進來。從外面進到裡面。,,出去
,大的,老大、大哥，對團體領導者的敬稱，通常用於下對上的稱呼語。,,細漢的
,以早,以前、從前。,,後日仔
,好命,命好。即指人的出身好或際遇好。,,㾀命
,花貓貓,形容顏色花樣多得讓人受不了。,,素色
,規半晡,大半天、老半天，指一天當中的一段長時間。,,一下仔
,頂改,上次、上回。,,後改
,頂改,上次、上回。,,後回
,頂改,上次、上回。,,後遍
,頂改,上次、上回。,,後見
,斯當時,那時、當時，就在那個時間點。,,這時
,滇流,漲潮。地球上的海洋表面受到太陽和月球的引力（潮汐力）作用引起的海水面上升的現象。,,水洘
,朗讀,以正確的聲韻調，清晰的聲音來唸文章。,,暗唸
,朗讀,以正確的聲韻調，清晰的聲音來唸文章。,,越唸
,朗讀,以正確的聲韻調，清晰的聲音來唸文章。,,暗記
,轉來去,回家。,,出去
,奶齒,乳牙。小兒最初生長，未經脫換的牙齒。,,正齒
,這號,這一個、這種。,,彼種
,這號,這一個、這種。,,彼樣
,末趁,低獲利。扣除營運成本後的純益很少。,,趁大錢
,平棒,公正持平。,,攔孤人
,躼跤蠓,高個子。稱身材高的人。,,矮仔財
,躼跤蠓,高個子。稱身材高的人。,,矮仔猴
,躼跤蠓,高個子。稱身材高的人。,,矮仔
,躼跤蠓,高個子。稱身材高的人。,,矮仔鼓
,躼跤蠓,高個子。稱身材高的人。,,矮鼓丁
,過冬鳥,候鳥。隨著季節變化，進行方向確定的、有規律的和長距離遷居活動的鳥類。,,在地鳥
,暗摸摸,形容光線不明亮、陰暗漆黑的樣子。,,光焱焱
,暗摸摸,形容光線不明亮、陰暗漆黑的樣子。,,光爍爍
,出外人,離鄉背井在外地求學或就業的人。,,在地人
,出外人,離鄉背井在外地求學或就業的人。,,本地人
,健欉,指以棵做單位的樹木、花果、蔬菜等植物長得枝繁葉茂。,,蔫蔫
,健欉,指以棵做單位的樹木、花果、蔬菜等植物長得枝繁葉茂。,,敗欉
,業命,勞碌命。,,命底好
,業命,勞碌命。,,媠命
,業命,勞碌命。,,清閒命
,出來去,出去。從裡面到外邊去。往外面移動。,,入來去
,在室男,處男。尚未結婚的男性。,,處女
,內角,裡面。,,外角
,內角,數學名詞。多邊形內的各角皆稱之為內角。,,外角
,變撚,方法。,,變無路
,變撚,方法。,,變無空
,變撚,方法。,,執死訣
,變撚,懂得變通，找到新方法解決問題。,,變無撚
,辟邪,驅除邪惡。,,祈福
,辟邪,能夠辟邪除魔的。,,祈福
,百歲年老,指人高壽而善終，或期許如此。,,生長命短
,規山坪,滿山遍野。,,稀罕
,規山坪,比喻到處都是。,,稀罕
,光映映,形容非常光亮的樣子。,,暗挲挲
,光映映,形容非常光亮的樣子。,,暗眠摸山貓
,光炎炎,形容光亮耀眼、輝煌奪目的樣子。,,暗挲挲
,光炎炎,形容光亮耀眼、輝煌奪目的樣子。,,暗眠摸山貓
,熱翕翕,非常悶熱。,,清涼
,好狗運,嘲諷或自嘲意外得到的好運。,,衰潲運
,無命,失去性命，即死亡、死去、喪命。,,健在
,無價,價錢不符預期、沒有利潤，多用在動詞之後做為補語。,,有價
,暗報,晚報，於下午或傍晚出刊的報紙。,,日報
,暗報,晚報，於下午或傍晚出刊的報紙。,,早報
,烏寒,陰天又寒冷的。,,燒熇
