詞目id,義項id,詞性,解說
,,名詞,副手、助手、助理。技術工作中的助手、協助處理事務的人。
,,名詞,中古貨。已經使用過，又再出售的貨品。
,,動詞,入殮。把死者放進棺木中。
,,名詞,神話傳說中的八位仙人，漢鍾離、張果老、韓湘子、鐵拐李、曹國舅、呂洞賓、藍采和、何仙姑八人。
,,名詞,小刀。
,,名詞,一種用來祭祀的方桌。通常置於大廳，祭祀時用來陳列祭品，與用來供奉神明或祖先牌位的「尪架桌」(ang-kè-toh)合稱「頂下桌」(tíng-ē toh)。
,,名詞,繡有八仙過海的紅色彩幔，在喜事節慶時懸掛在門楣上。
,,動詞,刻意作弄、為難別人。
,,動詞,蝕本、虧本。
,,名詞,百姓、國民。居住在一國家內具有應享權利與應盡義務的人。
,,名詞,人的一生、生命歷程。
,,名詞,磨刀石。
,,形容詞,完滿、齊全。完美無缺憾。
,,名詞,用於中醫藥名。
,,形容詞,完美、齊全。完美無缺憾。
,,名詞,中國傳統命相學家，用人出生的年、月、日、時，以天干、地支配合成八個字，來推斷一生的命運。
,,名詞,七字調。歌仔戲使用率非常高的一種調，七個字為一句，每段有四句。
,,名詞,西洋古代的一種刑具。由於耶穌基督為了救贖世人而被釘死在十字架上，所以後世就用十字架來代表基督本身或對基督教的信仰。
,,名詞,八字腳。走路內八字或外八字。
,,名詞,縱橫兩條道路交接之處。
,,時間詞,一大清早。
,,時間詞,形容時間還早。
,,副詞,聽進耳裡。
,,名詞,指刀子的主體部位。
,,形容詞,七老八十。形容年紀很老。
,,名詞,敗家子。不務正業、傾家蕩產而無法自立的子孫。
,,名詞,本事、本領。形容人對事情有一點處理的本事、能力。
,,名詞,八角茴香的果實。茶褐色，呈星狀排列，一般多用作食品的佐料。
,,形容詞,完全、充分。
,,名詞,九芎樹。木本植物。木質堅韌，可以拿來做手杖，根部可以拿來入藥，治瘧疾。
,,名詞,機關中的人員升調、獎懲、任免等事務。
,,名詞,人力。人的作為。
,,名詞,公關。用來送禮的物品。
,,名詞,術數用語。易經中八個基本卦名的合稱。相傳為伏羲氏所作，由陽爻和陰爻組成。後來也用來指稱八角形物品。
,,名詞,椰子蟹。甲殼類動物。可以爬上椰子樹，用兩隻螯剝食椰肉，故命名為「椰子蟹」。又因為體型碩大，個性凶蠻，頭胸部如八卦圖紋，俗稱「八卦」。
,,動詞,占卜。推斷未來的吉凶禍福。
,,名詞,家族中次男的支系。
,,名詞,有品格、才能出眾的人。
,,形容詞,五花八門、形形色色。
,,動詞,進門。
,,動詞,婦女嫁到夫家。
,,動詞,初步學會。
,,名詞,指初階讀物，多用在書名。
,,名詞,客人、賓客、顧客。
,,時間詞,之後。 
,,名詞,北斗星、北斗七星。星座名。由七顆星組合、排列在北方天空的星象，形狀像斗杓。是中國數術、宗教儀式中重要的星象，在西方星象學上屬於大熊星座。
,,名詞,食指。
,,副詞,故意、存心。
,,副詞,特地、特意。
,,副詞,存心、故意。
,,名詞,刀子的把手。
,,名詞,漢方藥劑的名稱，包含：當歸、川芎、白芍、熟地、人參、白朮、茯苓、甘草。
,,形容詞,三八。形容人的言行不莊重。
,,名詞,人脈。
,,名詞,人類的倫常，人類相處的各種關係。
,,名詞,擔任某種職務的人。
,,名詞,人數。
,,動詞,新居落成，搬入新家。
,,名詞,註生娘娘或是織女。女性神明，生日為農曆七月初七，當天會用油飯、花朵、胭脂水粉祭祀。
,,名詞,農曆七月初七。七星娘娘誕辰。「七娘媽」就是七星娘娘，傳說是孩童的保護神。以前農業社會醫藥不發達，孩子常夭折或生病，所以人們會祈求「七娘媽」保佑小孩平安長大，因此等到孩童十六歲(舊時十六歲即成年)七月初七當天，便舉行祭祀以酬謝「七娘媽」。
,,名詞,住宅、民家。
,,名詞,民宅。
,,名詞,陰司的鬼役。為迎神賽會陣頭之一。
,,名詞,品格、品性。
,,名詞,人緣、人望。源自日語「人気（にんき）」。
,,名詞,砧板。切割魚肉或蔬果時所墊的板子。
,,名詞,兵馬。泛指軍隊和武力裝備，及有相當力量的聚合人群。
,,動詞,住院。因為生病住進醫院就醫。
,,名詞,草本植物。根和葉都可以做藥，是昂貴的中藥材。因為形狀像人，所以稱為「人參」。
,,名詞,恩惠、恩情。
,,名詞,人際關係，尤指禮尚往來。
,,熟語,人情世故。為人處世的應對進退，多用在婚喪喜慶等應酬、禮尚往來的事宜。
,,動詞,信教、皈依。
,,名詞,眾人矚目。
,,形容詞,由人工製造而成的。
,,名詞,刀口。
,,動詞,進場。進入會場、試場或戲院等特定場所。
,,形容詞,枉然、枉費。
,,名詞,力氣、能力。
,,形容詞,故意、存心。
,,名詞,神明的名稱。名字為謝必安，身材高大，和八爺范無救為好友，因為守信守義而死，死後被封入神界，是城隍爺出巡時的重要配祀神明。
,,名詞,刀背。指刀無刃的一邊。
,,副詞,又、再，表示動作或現象的重複。
,,名詞,人的影子，也可以用來指人。
,,名詞,草本植物，脣形科羅勒屬。花的顏色有白色、紫色等，因為花苞為九層狀，尖端排列成九行，所以稱為「九層塔」。其嫩莖跟葉子可食用，具有特殊香氣。
,,名詞,人品。指人的外在面貌或儀表。
,,名詞,與人相處時，其相貌、個性、舉止受人歡迎的狀況。
,,動詞,開始進入學校學習、求學。
,,動詞,中選。被選上、被選入。
,,動詞,賠錢、虧本。
,,動詞,白費錢財。
,,名詞,人的頭部。
,,名詞,人數。
,,名詞,為了逃避法律責任所設置的負責人。
,,名詞,力氣、力道。
,,動詞,將亡者的遺體放入棺木中。
,,名詞,漢語的調類之一，指以塞音為韻尾的促音節，現今華語音中已無入聲，但是在臺灣台語和臺灣客語中仍有保留。
,,動詞,故意為難。
,,名詞,人生來就有的權利或是指人民在法律上所享有的權利，包括自由、人身安全、工作、受教育、集會結社、宗教信仰、財產等一切的人身權及民主權利。
,,量詞,計算長度的單位。臺制十尺等於一丈，公制十公尺等一公丈。
,,數詞,數字。
,,數詞,數字。
,,動詞,登上、爬上。
,,動詞,把東西端上去。
,,動詞,向上提吊。
,,動詞,慢慢長出來。
,,方位詞,指空間位置「下」的相反。
,,副詞,極致地、最……地，有些地區音變為thōng。
,,方位詞,指空間位置「上」的相反。
,,量詞,計算短暫動作的單位。
,,動詞,結束一個時程的工作。
,,動詞,宣布、公布。
,,動詞,往底下走。
,,形容詞,形容程序較為後面的，或是位階較為低等的。
,,動詞,放置、加進去。
,,動詞,許願。
,,形容詞,低、不高的。可用來形容位置、聲音、程度等等。
,,量詞,個。計算單獨的人、物的單位。
,,名詞,又小又圓的物體。
,,量詞,計算小而圓物體的單位。
,,形容詞,指時間的長久、長遠。
,,名詞,表示一段經過的時間。
,,數詞,最小的數字，「一」的另一種稱呼。
,,動詞,向別人求討東西。
,,副詞,亦。表示相同關係。
,,動詞,死、消失、滅絕。
,,形容詞,過世的、死去的。
,,名詞,過世的人、死去的人。
,,動詞,逃跑。
,,形容詞,平常、平庸、普通的。
,,形容詞,概括、全部。
,,名詞,人世間、塵俗。
,,數詞,十個百為千。
,,形容詞,表示很多。
,,數詞,十的百倍，十個百為千。
,,名詞,分支、分歧。
,,動詞,掐。
,,名詞,用來表示錯誤或作廢的符號。
,,動詞,用粗暴的話去頂撞別人。
,,名詞,指人的嘴巴。
,,名詞,出入的要道。
,,量詞,計算器物的單位。
,,量詞,計算人數的單位。特指家庭的人口。
,,量詞,計算戶口的單位。
,,名詞,土壤。亦為五行之一。
,,形容詞,形容人的個性粗曠率直。
,,形容詞,本地的、具有地方性的。
,,名詞,學位名稱或泛指讀書人。
,,,名詞前綴。用於女子對丈夫之父母的稱呼。
,,形容詞,指在體積、面積、深度、數量、強度等方面超過一般，或超過所比較的對象。
,,形容詞,在體積、面積、容量、數量、強度、深度、力量等方面超過一般，或超過比較的對象。
,,副詞,時間上更前或更後，有強調的意味。
,,形容詞,最年長的、排行第一的。
,,動詞,變大、長大。
,,名詞,女性、女子。
,,名詞,女性、女子。
,,名詞,體積小的東西。
,,名詞,植物的果實、種子或動物的卵。
,,名詞,兒女。
,,名詞,對賢者的美稱。
,,名詞,對人的稱呼。
,,名詞,晚輩。
,,名詞,門生、信徒。
,,名詞,地支的第一位。
,,名詞,時辰名。用十二地支命名。
,,,名詞後綴。
,,名詞,指小而圓形或橢圓形的東西。
,,量詞,計算香蕉的單位，等同於「根」。
,,量詞,計算長度的單位。一寸約三公分。
,,形容詞,短小、微小。
,,形容詞,細微，是「大」的相反。
,,名詞,謙稱自己的子女。
,,形容詞,細微，是「大」的相反。
,,形容詞,少許、些微。
,,形容詞,年紀、輩份比較低的。
,,名詞,地形隆起的部分。
,,名詞,地形隆起的部分。
,,名詞,陸地。
,,名詞,旱地。
,,量詞,計算天數的單位。
,,名詞,運用勞力、技能的工作者。
,,名詞,指生產勞務的工事。
,,名詞,工夫。工作需要花費的時間、精力。
,,名詞,空閒時間。
,,名詞,與機械、技術、製造相關的。
,,名詞,樂譜音名。工尺譜是中國傳統記錄樂譜的方法之一，第三個音即為「工」，也就是現在首調唱名法中的mi。
,,代詞,自身，與別人相對。
,,名詞,天干的第六位。
,,名詞,地支的第六位。
,,名詞,可擦拭、披用、包蓋的方型或長方型的布，都可以說是巾。
,,名詞,古代的防禦兵器，即盾牌。
,,名詞,古代記錄年、月、日、時的方法。
,,動詞,介入、參與。
,,動詞,冒犯。
,,名詞,武器名。彎弧形，用於射箭的工具。
,,名詞,形狀似彎弧形的東西。
,,動詞,撐開、張開。
,,量詞,計算弧形東西的單位。
,,名詞,能力、才智、本事。
,,名詞,有某種資質或身份的人。
,,副詞,方、始。
,,副詞,只有。
,,副詞,表強調的語氣。
,,副詞,再。表示接續在另一動作之後。
,,量詞,計算物體體積的單位。常用在木材的計算，一才為一台寸寬×一台寸厚×十台尺長。
,,量詞,計算物體面積的單位。可見於紙張、玻璃、石材、窗簾等的計算，一才為一尺(三十公分)見方。
,,名詞,下巴、下顎。
,,名詞,岳父。稱謂。男子稱妻子的父親。
,,形容詞,傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。
,,名詞,比較粗魯、率直的人。
,,名詞,日治時代老百姓對警察的稱呼。源自日語。
,,名詞,成年人。
,,形容詞,形容很用力，或者出重力。
,,名詞,品德操守低下，人格卑劣的人。
,,名詞,蔓生植物。可以入藥，有散血定痛的功效，常和杜仲相配合。嫩葉可以食用，是餐廳常見的野菜佳餚。
,,名詞,工人。靠勞力工作，以換取工資的人。
,,名詞,稱謂。男性稱呼妻子的爺爺或外公。
,,名詞,皮條客。為男女雙方媒介色情，拉攏不正當關係的牽合者。因為與妓女三七分帳，才有此稱呼。
,,名詞,岳父。稱謂，男性稱呼妻子的父親。
,,形容詞,傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。
,,名詞,稱謂。男性稱呼妻子的奶奶或外婆。
,,副詞,最久。
,,動詞,登山、爬山。
,,動詞,常用在戲曲的對白，指修行人要離開修行的地點。
,,副詞,經過一段相當長久的時間。
,,形容詞,指很用力。
,,形容詞,飯量少、食量小。
,,名詞,指一般打零工的人，因其工作性質、內容均不定，有時亦為副手，故稱為小工。
,,名詞,有卓越文才或學問能力的男子。
,,名詞,有志氣而且勇敢剛毅的男子。
,,副詞,偏偏。
,,名詞,廣東省潮州的明山、獨山及中山三座山的山神總稱。後來人民遷徙臺灣，在臺灣各地都有祭祀的廟宇，香火鼎盛，是客家族群和潮州人的守護神。
,,形容詞,成千上萬，形容數量很多。
,,動詞,送葬到墓地，護送棺木到墓地。
,,名詞,姑公、姨公。稱謂。稱呼姑婆或姨婆的先生。
,,名詞,元宵節、上元節。我國傳統民俗節日之一。農曆正月十五日為天官大帝誕辰，清晨會祭拜三界公。
,,名詞,下元節。傳統民俗節日之一。農曆十月十五日為三官大帝的誕辰，通常在十月十四日晚間十一點開始祭拜，主要供品為甜湯圓、「麻粩」(muâ-láu)、「米粩」(bí-láu)。
,,名詞,後輩、晚輩。
,,副詞,頂多、充其量。至多也不過如此。
,,熟語,不時、經常。
,,名詞,處理喪葬墓穴的工人。 
,,形容詞,形容個性粗魯耿直。
,,名詞,戲劇或馬戲團中表演滑稽逗趣腳色的人。
,,名詞,比喻舉止不莊重，善於逗趣的人。
,,形容詞,形容人的個性粗魯，就像墓穴工一樣。
,,名詞,元宵節、上元節。我國傳統民俗節日之一。農曆正月十五日為天官大帝誕辰，清晨會祭拜三界公。
,,時間詞,清晨到中午之間。
,,名詞,上蒼。對具有無窮力量的天或是天上神明的總稱。
,,副詞,對技術或工作已掌握熟練，駕馭自如。
,,動詞,到手、得逞。
,,動詞,從水井裡取水上來。
,,時間詞,中午過後的時間，指中午十二點到黃昏前的一段時間。
,,動詞,動手去做。
,,名詞,商業活動中買進貨物的人。
,,名詞,手下。
,,名詞,內臟。雞、鴨等禽類動物的內臟。
,,名詞,指道路、橋樑或建築物的興建、改建、維護等工作。
,,形容詞,慷慨不小氣。
,,形容詞,舉止得體合宜、不矯飾，有大家風範。
,,名詞,吉日。指適合婚喪嫁娶的好日子。
,,名詞,烈日。
,,名詞,國曆三十一天或者農曆三十天的月分。
,,名詞,指生意的旺季。
,,名詞,尺寸、法度。
,,形容詞,注意、留意。
,,名詞,農曆之中，只有二十九天的月份。
,,名詞,生意清淡的月份。
,,名詞,做家具的木工。相反的，「大木」(tuā-ba̍k)是建築房屋的木工。
,,名詞,中國功夫。即特殊武術、工技。
,,形容詞,做工精密細膩。
,,名詞,技術、本領、造詣。
,,形容詞,禮數多。
,,名詞,即李哪吒，是封神榜中的人物之一。民間信仰中又稱為「三太子爺」、「中壇元帥」等，道教將其奉為五營神兵神將的統帥之一，道士施法時皆會請哪吒相助。
,,名詞,標示在工尺譜上的音階名。「上」表示首調唱名法中的Do，「尺」表示首調唱名法中的Re，「工」表示首調唱名法中的Mi。
,,熟語,形容猶豫不決，意志不堅。
,,動詞,呼吸急促，喘不過氣來。
,,名詞,千斤頂、起重機。利用螺旋、齒輪或油壓作用，將重物作小幅度抬高的機械裝置。常用於安裝或修理機器、汽車時使用。
,,名詞,指鮭魚。過去常用來製成罐頭。借自英語salmon。
,,名詞,用雞、鴨等禽類動物的內臟及佐料所做成的湯品。
,,名詞,東西切割或對分之後，占多數或較大的一方。
,,名詞,風水觀念中的方位，左青龍，右白虎，以左為大。大爿即左邊之義。
,,名詞,丸子。團狀、丸狀的東西或食品。
,,名詞,大哥、長兄。
,,名詞,工人。靠勞力工作，以換取工資的人。
,,名詞,布巾類的總稱。
,,名詞,彈簧。利用有彈性的材料所製成的零件。
,,動詞,擅作主張。指不聽從、不遵守上級或長輩的指示，擅自做決定。
,,名詞,大事情。
,,副詞,最多、頂多。
,,動詞,北上。臺灣地理的觀念上，以北為上，南為下，所以向北出發即是「上北」。
,,名詞,下屬、手下。
,,名詞,土包子、鄉巴佬。形容缺乏見識、知識的人。
,,形容詞,稍微、些微、少許。
,,副詞,到處、每個地方。
,,熟語,卌為四十的意思，上卌表示人到中年的意思。這句話表示人到中年萬事休，生理機能走下坡，心理也逐漸失去青年時期意氣風發的理想。
,,時間詞,下半夜、後半夜。夜晚十二點以後到天亮的時間。
,,動詞,物品、股票等開始在市場上發售或買賣。
,,動詞,投入本錢。
,,名詞,資本。
,,名詞,大號、大型的植物。
,,名詞,大本錢、很多本錢。
,,名詞,戲劇裡，飾演年輕貌美的女子的角色。
,,形容詞,瞧得起；看得上眼。 
,,名詞,旁白。戲曲中人物的內心獨白以及對話。
,,名詞,大眼睛。用來嘲諷人沒有看到近在眼前或目標明顯的東西。
,,名詞,戲劇裡，飾演年輕男子的角色，包括文生和武生。
,,名詞,小玉西瓜。瓜果類。果肉為黃色的西瓜。
,,名詞,葉菜類。形似油菜，葉柄呈白色，可食用，也可以入藥。
,,名詞,大甲地區所產的優質草蓆，為大甲藺草所編，質地柔軟不易脆裂。
,,動詞,就職。擔任職務。
,,動詞,非常仰慕、仰慕很久了。是人際交往時初次見面的客套話。
,,副詞,停止、罷休。
,,名詞,用來尊稱別人的名字。
,,名詞,指一個人享有極高的聲望和名譽。
,,名詞,長子、大兒子。稱謂。對長子的稱呼。
,,名詞,乳名、外號。非正式的名字。
,,名詞,對自己名字的謙稱。
,,名詞,小子。是輕視別人的稱呼。
,,名詞,青椒。瓜果類。主莖呈木質化，為低木狀，形狀像辣椒，可以食用。
,,形容詞,最好、最佳的表現。
,,副詞,最好。表示一種期待與希望，有時帶有警示的意味。
,,副詞,也好、也行。
,,名詞,指土壤或者是地表上面的部分。
,,名詞,指一個國家的領土、封疆。
,,名詞,專門指耕地。
,,名詞,民間信仰中守護地方的神，又叫做「福德正神」。
,,時間詞,早上。
,,時間詞,今早。今天早上。
,,形容詞,形容人不辨真假、輕信片面之詞。
,,名詞,大耳朵。大耳朵的人又稱「大耳仙」(tuā-hīnn sian)。
,,名詞,傻瓜。
,,動詞,口吃。講話結結巴巴、不清不楚。
,,名詞,稱謂。對人尊稱父親的長兄。
,,名詞,大伯子。稱謂。妻子尊稱丈夫的大哥。
,,名詞,主位。宴會用餐時，最重要的席位，通常由德高望重者，或年長長輩入座。
,,名詞,車上的主位。
,,名詞,作事、職業。為賺取生活所需的金錢或物質，所從事的腦力或體力的活動。
,,熟語,著名的民間故事及戲曲劇目人物。梁山伯與祝英台同窗三年，才知英台是女扮男裝，二人相愛欲成夫妻，祝家卻將英台許配權貴，山伯相思而死，英台跳入山伯墳塚而亡，二人化為彩蝶，比翼雙飛。後也用來比喻苦戀的悲劇人物。
,,名詞,大舅媽。稱謂。大舅的妻子。
,,名詞,山頂。
,,名詞,後生小輩。
,,名詞,子嗣。
,,名詞,稱謂。稱最年幼的弟弟或泛稱弟弟。
,,代詞,男人對平輩的自謙稱詞。
,,名詞,稱呼年齡比自己小的男子。
,,名詞,由農村子弟組成演出的臺灣傳統戲曲，主要為北管，為業餘性質，在廟宇慶典中伴奏或演出。
,,時間詞,子時、中夜。指夜間十一時至隔天凌晨一時。
,,時間詞,三更半夜；深夜。
,,量詞,戶、住戶。計算家庭的單位。
,,名詞,膀胱。泌尿系統中儲存尿液的器官。為肌肉與膜質形成的囊，呈卵圓形，位在骨盤腔的前方和腹腔的下方。
,,名詞,指很大的肚子。
,,形容詞,指一個人的食量很大。
,,名詞,指懷孕。
,,名詞,三角形。
,,名詞,三毛錢。
,,動詞,久違。好久不見，為久別重逢的寒暄語。
,,名詞,山溝。兩山之間低窪且狹窄的地方。
,,名詞,芎藭。草本植物。可入藥，有調經、活血、潤燥、止痛等療效。大多產於四川，所以稱為「川芎」。
,,名詞,貝母、藥實。草本植物。地下鱗莖為白色，形狀像集貝子，可以入藥。主要產地在中國四川。
,,名詞,蚌類扇貝上的肉經乾燥製成的食品。
,,名詞,神話傳說中的天神，是媽祖座前的神將，雙眼大而暴突，能看到極遠、極細、極隱蔽的東西。
,,名詞,位於路口轉角處的房子。
,,名詞,一種三角樣式的貼身內褲。
,,名詞,望遠鏡。用來觀察天體或者是遠處物體的儀器。
,,副詞,久而久之。
,,名詞,訴訟關係人在被審問的時候，對案情的相關陳述。
,,名詞,地位最高的外交官員。派駐在邦交國，代表著國家和國家元首。
,,名詞,小事情。
,,名詞,小弟、跑腿的。供人差遣的人。
,,名詞,工程。源自日語「工事（こうじ）」。
,,名詞,稱謂。父母親稱自己的女兒，此音讀通常出現在戲劇中。
,,名詞,稱謂。稱呼丈夫的弟弟。
,,名詞,軟體動物名。胴部呈圓錐形或長筒形，鰭較大，多位於後端。腕有十隻，有兩隻較長的觸腕，內有吸盤二行，觸腕穗吸盤四行。
,,名詞,專門診治兒童的醫學分科。
,,名詞,急性脊髓灰白質炎。病名。由濾過性病毒所引發的急性傳染病，病毒侵入中樞神經系統，破壞脊椎前角的神經，致使肌肉麻痺萎縮。
,,名詞,山坡地。山凹間或山麓上較平坦的地或可耕地。
,,名詞,丈母娘、岳母。稱謂。男子稱妻子的母親。
,,名詞,大伯母。稱謂。用來稱呼父親大哥的妻子。
,,名詞,稱謂。妻子尊稱丈夫的大嫂。
,,名詞,稱謂。用來稱呼姊妹之中年紀最大的。
,,名詞,稱謂。指父親的姊妹中年紀最長的。
,,名詞,稱謂。稱呼丈夫的姊姊。
,,名詞,稱謂。稱呼排行最小的妹妹或泛稱妹妹。
,,名詞,女子自稱。
,,名詞,姑娘。稱呼未婚的年輕女子。
,,名詞,稱呼富貴人家的女兒。
,,名詞,稱謂。女子稱呼丈夫的妹妹。
,,名詞,丈母娘、岳母。稱謂。男子稱妻子的母親。
,,方位詞,下面、底下。與「頂面」(tíng-bīn)相對。
,,名詞,公公。指丈夫的父親，用於背稱及描述，面稱時則與丈夫一致。
,,名詞,權臣、官僚。仗著官位權勢擺威風、魚肉百姓的人。
,,形容詞,形容人的個性較粗魯、率直。
,,副詞,拚命。豁出性命，全力以赴。
,,名詞,長房。指家族中嫡長子所屬的家系。
,,名詞,用來當作曬穀時集中穀子的農具。約二尺半長、一尺多寬的長型木板，上有一柄，兩邊有繩索，由兩人共同拖曳，將大量稻穀集中一處放置處理。
,,時間詞,晚上。
,,時間詞,今晚。
,,名詞,包心白菜、山東白菜。葉菜類。營養豐富，具有清熱利尿、降血壓、預防感冒、健胃整腸等功效。
,,時間詞,今晚、今天晚上。
,,名詞,養子女。
,,形容詞,形容一個人個性率真、剛直，不會深思熟慮，不會拐彎抹角。
,,名詞,扒手、三隻手。專門在公共場所偷取人家財物的小偷。
,,形容詞,長久。時間長遠悠久。
,,名詞,禮貌性的稱呼別人的女兒。
,,名詞,表示很多錢，很有價值。
,,形容詞,指意外不測、變故，多指死亡。
,,動詞,長青苔。
,,名詞,久病、慢性病。
,,名詞,書名。臺灣正式推行小學教育前的一種兒童啟蒙書。教導學生商業所需的知識、記帳用語，因開頭第一句話為「字是隨身寶，財是國家珍，一字值千金，千金難買聖賢心」而得名。
,,動詞,排泄糞便。
,,名詞,排泄出來的糞便。
,,時間詞,前年的前一年，即今年以前的第三年。
,,名詞,稱謂。母親的大姊。
,,名詞,傳說中創造萬物的神祇。
,,名詞,玄天上帝、北極玄天上帝。又稱玄武文帝，腳踏龜蛇，右手執劍，左手印訣，民間俗傳玄天上帝生前以殺豬、販賣豬肉維生，後來放下屠刀，立地成佛。
,,動詞,謹慎、仔細的考慮。
,,時間詞,大後天。
,,時間詞,後年之後的第一年。
